NodePubkey,Commission,ActivatedStake
Bs1AYgU6v6MiKivhpNpHnU9VePJAfdeC1yC3FuRaBWNa,0,324476327961279
BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,8,323006347914620
CbyfiyQAy9pyWKrAv3KViqHgcDPQ9ECmYx3eaQoV5hBw,0,313846053803628
STA5dMZHibCkLtWGXmEADpdkR8VRkGTJf1gTSMyJ1YU,0,312410504614693
mds4GEuiSgQRqveGyktWpETBFCb4AS2wDnhqwLHcT6Z,10,303358514806712
2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns,100,298521084264395
BFMufPp4wW276nFzB7FVHgtY8FTahzn53kxxJaNpPGu6,5,297671602251643
9bkyxgYxRrysC1ijd6iByp9idn112CnYTw243fdH2Uvr,10,292934175140367
8pyp3vfVPRziYdAYEyqkwytdBbdVbQmHqfQAVDcRV3w,1,289645118627642
BJu6CLyEP2M5Fvj88DF7ZcJYhs9qb2FYBBrVKwrFYoQk,0,287742337604858
mLyfgvyTAuEBVyAZcqyWKJ4SnM88Tqv2hFMy68y8hmY,5,287626804270389
8JpfpVyew5Y9cLQCHkt5gqT4vDZLL46ZknMbSThVjzrg,0,283058935055998
MCFmmmXdzTKjBEoMggi8JGFJmd856uYSowuH2sCU5kx,5,282763538579032
6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN,10,277430000700955
8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,0,273401057030571
SerGoB2ZUyi9A1uBFTRpGxxaaMtrFwbwBpRytHefSWZ,0,271033110127460
4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n,0,270265379700257
uEhHSnCXvWgtgvVaYscPHjG13G3peMmngQQ2ghC54i3,0,269114737097841
FSVdqBzx5D4UsqBLnvmH5dFx2dCm1pTPAbQWJ1PYzTJ2,5,268301186272918
2UBhtRuyr9nvWsUnrbWrvJiYWEU8TVBD4PLYQJKiRa9H,0,261783698458486
91oPXTs2oq8VvJpQ5TnvXakFGnnJSpEB6HFWDtSctwMt,3,260062395634939
6qcbqy2Twyks4NAjjmvQiSFdaYCdyb3qRWEtDcEjYSQ2,5,258139122998351
TiMxX1yasS4CiGyRcnn7sy9T2fvaNdFpkf8tFDhhDkG,0,257865031327950
FGiEdzde7Fco2WLpNQMat299hUVoykJdaA5hxdmCzHiS,5,257437699477418
7TtboPzuUFJg5gCjnPVJKmBRZhfEmoAnNWXdsX81N28T,5,256887779017036
FUURpC3LjVnxr21PmEfHtxT7Mfe4CVJXxESBjQPvmqTZ,0,256473628950623
vaoJKVZYPAsqc52T2nNQhABR1gU6Cy2koDKfCQaEiva,0,254420579658458
akb7XJkB8rgvDixC25gxpGisNS1aAQbk6HZkR9X1jrX,5,253701288262597
NordEHiwa6wT5TCjdeWJzpsA7DSmWQPqfSS7m2b6cv3,0,252487348979864
DvSMQm6DQqL6wJGZURVRj9koVeRMS7tCeTQNtVCnSYtV,5,252220562201452
DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,0,252122366439661
Dx1VZXPvXiAj4wydmDGdizkwvwpQXVSTfeVz3JS3xavj,5,252067905410080
9Ukj3PkyD3igEDJGt1QTj9ThzjK6hMiadQfa3gm7kjf1,10,251616678511734
EdGevanA2MZsDpxDXK6b36FH7RCcTuDZZRcc6MEyE9hy,0,250917597288690
ARF8ETYuMQ5wvUqgbWBLSKe2Uz2ytHuvWEVoybwcqk8c,5,249810714574793
DMGGRvdRwhqrpo7LLnUzSkivaTNoGCsU4NtnL6czYKYG,5,249496700033911
CyUEJ2KvRCDZqPM5PZ7RVznyjsto8zKc5or6CJZJDPda,0,246681490990498
RUSHpmG4o1ydgySKRexRws7WMmu8nH5BaQgEAmwo2hK,0,246095558735686
Goo7uPA1ASVX2Ws4JW1eAjQxBcTtjMdpAHBtPBzi8yN6,0,245680412878899
8aySXUFrqJz5kath6aVijrkBH8ZtxMWJGhYXwYBpKmHK,0,245516542360104
8QQn2KJcnMxZ3xHJQJMiyysyWx94mdNCBwoonT3YN9jQ,0,245483365081247
3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5,0,244470168678290
3V2xaccDpFib4DbTksdiveNDmiwpXBqSWyjSof3w1Bg7,0,244266306929742
